Month;yt
abr/99;  91.1
mai/99;  92.4
jun/99;  93.6
jul/99;  93.8
ago/99;  93.4
set/99;  92.4
out/99;  91.8
nov/99;  91.6
dez/99;  90.3
jan/00;  90.3
fev/00;  90.6
mar/00;  90.6
abr/00;  91.3
mai/00;  92.6
jun/00;  94.5
jul/00;  95.2
ago/00;  95.1
set/00;  94.6
out/00;  93.5
nov/00;  93.2
dez/00;  91.9
jan/01;  91.7
fev/01;  92.0
mar/01;  92.1
abr/01;  92.8
mai/01;  93.8
jun/01;  95.2
jul/01;  95.4
ago/01;  95.0
set/01;  94.6
out/01;  94.5
nov/01;  94.1
dez/01;  93.1
jan/02;  93.3
fev/02;  93.8
mar/02;  94.3
abr/02;  95.3
mai/02;  97.1
jun/02;  98.6
jul/02;  98.9
ago/02;  98.8
set/02;  98.6
out/02;  98.1
nov/02;  98.0
dez/02;  97.0
jan/03;  97.0
fev/03;  97.4
mar/03;  97.5
abr/03;  98.2
mai/03;  99.6
jun/03; 101.4
jul/03; 101.6
ago/03; 101.3
set/03; 101.4
out/03; 101.4
nov/03; 101.4
dez/03; 100.0
jan/04; 100.4
fev/04; 101.0
mar/04; 101.5
abr/04; 102.6
mai/04; 104.8
jun/04; 107.1
jul/04; 108.4
ago/04; 109.1
